Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,4.075000,4.575000,2.921875,3.228125,3.228125,5244180000
2000-02-01,3.375000,4.296875,3.153125,3.443750,3.443750,4149154000
2000-03-01,3.381250,3.762500,3.000000,3.350000,3.350000,3131692000
2000-04-01,3.271875,3.431250,2.040625,2.759375,2.759375,3240250000
2000-05-01,2.800000,3.118750,2.021875,2.415625,2.415625,2613772000
2000-06-01,2.443750,2.906250,1.623438,1.815625,1.815625,4062818000
2000-07-01,1.834375,2.196875,1.393750,1.506250,1.506250,3970492000
2000-08-01,1.531250,2.198438,1.465625,2.075000,2.075000,2889294000
2000-09-01,2.106250,2.481250,1.775000,1.921875,1.921875,2674794000
2000-10-01,1.909375,1.921875,0.968750,1.831250,1.831250,4934670000
2000-11-01,1.790625,2.043750,1.106250,1.234375,1.234375,3186778000
2000-12-01,1.246875,1.381250,0.743750,0.778125,0.778125,4042258000
2001-01-01,0.790625,1.118750,0.678125,0.865625,0.865625,4209736000
2001-02-01,0.859375,0.859375,0.496875,0.509375,0.509375,3347482000
2001-03-01,0.493750,0.700000,0.478125,0.511500,0.511500,3352718000
2001-04-01,0.516500,0.908000,0.405000,0.789000,0.789000,3795608000
2001-05-01,0.795000,0.880000,0.655000,0.834500,0.834500,2893734000
2001-06-01,0.861000,0.896000,0.560000,0.707500,0.707500,2733918000
2001-07-01,0.705000,0.871000,0.553500,0.624500,0.624500,3441574000
2001-08-01,0.636500,0.643000,0.427500,0.447000,0.447000,2013746000
2001-09-01,0.447500,0.459500,0.283500,0.298500,0.298500,2536868000
2001-10-01,0.295500,0.499500,0.275500,0.349000,0.349000,3397656000
2001-11-01,0.354000,0.620000,0.330000,0.566000,0.566000,6219306000
2001-12-01,0.551000,0.640000,0.475500,0.541000,0.541000,4249110000
2002-01-01,0.546500,0.788500,0.451500,0.709500,0.709500,6454784000
2002-02-01,0.703500,0.737500,0.553000,0.705000,0.705000,3279778000
2002-03-01,0.706500,0.848000,0.677500,0.715000,0.715000,3296356000
2002-04-01,0.714000,0.852500,0.626000,0.834500,0.834500,3179172000
2002-05-01,0.827500,1.020000,0.787500,0.911500,0.911500,3096810000
2002-06-01,0.915500,0.958000,0.734000,0.812500,0.812500,2852356000
2002-07-01,0.808500,0.858000,0.613000,0.722500,0.722500,3531844000
2002-08-01,0.715500,0.799500,0.639000,0.747000,0.747000,2306832000
2002-09-01,0.735500,0.896500,0.712000,0.796500,0.796500,2920540000
2002-10-01,0.811500,1.013000,0.800500,0.968000,0.968000,4070772000
2002-11-01,0.961000,1.225000,0.910000,1.167500,1.167500,4126726000
2002-12-01,1.207500,1.250000,0.921500,0.944500,0.944500,3112212000
